ID,fromTable,fromColumn,toTable,toColumn,modifiedTime,refreshedTime
348ff92e-01f6-4bf7-a2b5-94b602bd4a29,Notification,SYM_RUN_DATE,LocalDateTable_e1ed0127-269e-4c01-b524-62f6b014ebf8,Date,2023-07-11T09:23:56.186667,2025-01-16T06:06:25.786667
782c764e-b2b2-45a7-8ce1-c2eedc8de9ab,CIF_AUM_PRODUCT_PENE,PAYROLL_TYPE,Dim_Payroll_user,Payroll_type,2023-10-27T02:47:14.55,2025-01-16T07:49:00.21
d531ad21-c73f-47aa-8651-117585ebb0c4,CIF_AUM_PRODUCT_PENE,SEGMENTS,Dim_Segment,Segment,2023-10-27T02:47:14.546667,2025-01-16T07:49:00.246667
8356fcc3-1766-4453-a7ff-941bcc97c08b,CIF_AUM_PRODUCT_PENE,CUST_TYPE,Dim_Customer_type,Customer_type,2023-10-27T02:47:14.556667,2025-01-16T07:49:00.21
8113829d-4ea7-40c4-b25b-61d25884857c,CIF_AUM_PRODUCT_PENE,CIF_REGIST_MONTH,LocalDateTable_95c0a435-a248-4706-a6b7-9c8fa4d06a10,Date,2023-10-27T02:47:16.31,2025-01-16T07:49:02.333333
085b8c37-d03c-42ad-9b7f-90cb7a3dfa9d,Dim_Date,Date,LocalDateTable_bb1a1937-f61c-49dd-b0b8-f38841b8254f,Date,2023-10-27T04:09:20.353333,2025-08-06T02:13:57.083333
e2daed7c-aae8-4c92-90d7-c67d0fa5b3e2,CIF_AUM_PRODUCT_PENE,REPORT_DATE,Dim_Date,Date,2023-10-27T04:09:20.346667,2025-08-06T02:13:57.066667
